id;time_from;time_to;tag
6312581;2022-03-04 09:18:19 +01:00;2022-03-04 09:18:48 +01:00;RUN
6312619;2022-03-04 09:20:04 +01:00;2022-03-04 09:20:41 +01:00;RUN
6312655;2022-03-04 09:21:51 +01:00;2022-03-04 09:23:02 +01:00;RUN
6313787;2022-03-04 09:30:17 +01:00;2022-03-04 10:25:31 +01:00;RUN
6313869;2022-03-04 10:27:54 +01:00;2022-03-04 10:28:13 +01:00;RUN
6313870;2022-03-04 10:28:13 +01:00;2022-03-04 10:28:18 +01:00;MICROSTOP
6314003;2022-03-04 10:28:18 +01:00;2022-03-04 10:31:24 +01:00;RUN
6314293;2022-03-04 10:43:44 +01:00;2022-03-04 10:44:17 +01:00;RUN
6314310;2022-03-04 10:44:17 +01:00;2022-03-04 10:45:05 +01:00;MICROSTOP
6314374;2022-03-04 10:45:05 +01:00;2022-03-04 10:48:29 +01:00;RUN
6314541;2022-03-04 10:57:14 +01:00;2022-03-04 10:57:45 +01:00;RUN
6314999;2022-03-04 10:58:59 +01:00;2022-03-04 11:38:26 +01:00;RUN
6315051;2022-03-04 11:39:31 +01:00;2022-03-04 11:40:09 +01:00;RUN
6315413;2022-03-04 11:41:15 +01:00;2022-03-04 12:03:57 +01:00;RUN
6316296;2022-03-04 12:05:26 +01:00;2022-03-04 13:03:24 +01:00;RUN
6318514;2022-03-04 13:06:32 +01:00;2022-03-04 16:44:45 +01:00;RUN
6322547;2022-03-04 20:38:04 +01:00;2022-03-04 20:42:47 +01:00;RUN
6322785;2022-03-04 20:48:34 +01:00;2022-03-04 20:53:16 +01:00;RUN
6322920;2022-03-04 20:54:39 +01:00;2022-03-04 20:58:57 +01:00;RUN
6323064;2022-03-04 21:00:57 +01:00;2022-03-04 21:06:43 +01:00;RUN
6323128;2022-03-04 21:09:26 +01:00;2022-03-04 21:09:43 +01:00;RUN
6323191;2022-03-04 21:12:32 +01:00;2022-03-04 21:12:49 +01:00;RUN
6323254;2022-03-04 21:15:26 +01:00;2022-03-04 21:15:43 +01:00;RUN
6323388;2022-03-04 21:17:01 +01:00;2022-03-04 21:22:35 +01:00;RUN
6324323;2022-03-04 21:58:12 +01:00;2022-03-04 22:06:26 +01:00;RUN
6324827;2022-03-04 22:13:48 +01:00;2022-03-04 22:28:28 +01:00;RUN
6325038;2022-03-04 22:33:19 +01:00;2022-03-04 22:36:10 +01:00;RUN
6325159;2022-03-04 22:41:52 +01:00;2022-03-04 22:42:08 +01:00;RUN
6325175;2022-03-04 22:42:08 +01:00;2022-03-04 22:43:07 +01:00;STATE_4982
6325184;2022-03-04 22:43:07 +01:00;2022-03-04 22:43:25 +01:00;RUN
6325805;2022-03-04 22:44:27 +01:00;2022-03-04 23:16:26 +01:00;RUN
6325813;2022-03-04 23:16:26 +01:00;2022-03-04 23:16:47 +01:00;MICROSTOP
6326381;2022-03-04 23:16:47 +01:00;2022-03-04 23:47:59 +01:00;RUN
6326770;2022-03-04 23:53:47 +01:00;2022-03-05 00:06:35 +01:00;RUN
6326775;2022-03-05 00:06:35 +01:00;2022-03-05 00:06:41 +01:00;MICROSTOP
6326779;2022-03-05 00:06:41 +01:00;2022-03-05 00:06:57 +01:00;RUN
6327069;2022-03-05 00:19:39 +01:00;2022-03-05 00:20:41 +01:00;RUN
6327506;2022-03-05 00:35:31 +01:00;2022-03-05 00:43:09 +01:00;RUN
6332660;2022-03-05 00:44:52 +01:00;2022-03-05 06:00:00 +01:00;RUN
6334785;2022-03-05 06:00:00 +01:00;2022-03-05 08:03:51 +01:00;RUN
6334786;2022-03-05 08:03:51 +01:00;2022-03-05 08:03:56 +01:00;MICROSTOP
6334801;2022-03-05 08:03:56 +01:00;2022-03-05 08:04:31 +01:00;RUN
6336860;2022-03-05 08:38:09 +01:00;2022-03-05 10:09:58 +01:00;RUN
6336922;2022-03-05 10:13:43 +01:00;2022-03-05 10:14:09 +01:00;RUN
6336947;2022-03-05 10:14:09 +01:00;2022-03-05 10:15:07 +01:00;MICROSTOP
6337199;2022-03-05 10:15:07 +01:00;2022-03-05 10:33:22 +01:00;RUN
6337305;2022-03-05 10:38:52 +01:00;2022-03-05 10:39:17 +01:00;RUN
6337833;2022-03-05 10:41:59 +01:00;2022-03-05 11:10:29 +01:00;RUN
6338091;2022-03-05 11:18:24 +01:00;2022-03-05 11:21:02 +01:00;RUN
6338312;2022-03-05 11:29:22 +01:00;2022-03-05 11:30:21 +01:00;RUN
6338611;2022-03-05 11:36:26 +01:00;2022-03-05 11:44:13 +01:00;RUN
6338622;2022-03-05 11:44:13 +01:00;2022-03-05 11:44:55 +01:00;MICROSTOP
6338803;2022-03-05 11:44:55 +01:00;2022-03-05 11:55:22 +01:00;RUN
6338995;2022-03-05 12:02:12 +01:00;2022-03-05 12:03:24 +01:00;RUN
